DistributorId,DistributorRegistrationDate
40054581,2020-02-04T14:29:38.120Z
40056423,2020-02-04T03:53:35.743Z
40058666,2020-02-04T06:42:05.160Z
40059647,2020-02-04T05:56:04.213Z
40082333,2020-02-04T05:28:10.970Z
40108824,2020-02-04T14:22:40.927Z
40124519,2020-02-04T16:32:40.433Z
40124535,2020-02-04T15:36:10.477Z
40147343,2020-02-04T10:12:55.343Z
40148018,2020-02-04T13:24:37.953Z
40148692,2020-02-04T10:23:48.217Z
40155074,2020-02-04T09:15:12.227Z
40163099,2020-02-04T14:08:54.367Z
40187628,2020-02-04T18:19:57.103Z
40201982,2020-02-04T17:21:23.177Z
40205567,2020-02-04T08:34:25.193Z
40205599,2020-02-04T07:38:51.080Z
40207610,2020-02-04T07:37:18.820Z
40208949,2020-02-04T08:31:00.157Z
40226052,2020-02-04T10:45:56.887Z
40230769,2020-02-04T17:08:23.663Z
40240311,2020-02-04T13:59:18.877Z
40240312,2020-02-04T14:16:11.937Z
40257516,2020-02-04T11:43:47.017Z
40257520,2020-02-04T11:29:07.417Z
40273058,2020-02-04T06:47:45.540Z
40286022,2020-02-04T04:26:50.563Z
40286023,2020-02-04T04:44:57.580Z
40286025,2020-02-04T04:30:53.800Z
40293960,2020-02-04T09:28:15.163Z
40303056,2020-02-04T17:46:51.040Z
40304419,2020-02-04T04:02:00.273Z
40318047,2020-02-04T09:52:20.090Z
40331839,2020-02-04T08:50:36.777Z
40332108,2020-02-04T09:26:57.267Z
40337438,2020-02-04T10:15:31.480Z
40350895,2020-02-04T07:41:10.777Z
40361094,2020-02-04T14:16:44.280Z
40361817,2020-02-04T04:49:22.837Z
40365632,2020-02-04T09:11:54.543Z
40392582,2020-02-03T18:50:24.363Z
40403569,2020-02-04T12:11:12.290Z
40405274,2020-02-04T05:34:46.237Z
40420119,2020-02-04T09:33:51.670Z
40422403,2020-02-04T14:40:49.833Z
40427253,2020-02-04T05:18:14.623Z
40437661,2020-02-04T09:59:24.003Z
40437671,2020-02-04T10:20:57.630Z
40442958,2020-02-04T09:54:19.607Z
40461669,2020-02-04T04:04:32.917Z
40461670,2020-02-04T04:20:02.597Z
40469093,2020-02-04T14:03:37.080Z
40474540,2020-02-04T14:31:06.350Z
40480765,2020-02-04T14:41:12.263Z
40488329,2020-02-04T11:42:28.453Z
40490891,2020-02-04T05:53:45.747Z
40503031,2020-02-04T07:34:59.137Z
40525230,2020-02-04T09:34:21.893Z
40564961,2020-02-04T06:38:25.620Z
40567477,2020-02-04T14:56:50.963Z
40567483,2020-02-04T14:06:08.847Z
40583206,2020-02-04T11:41:37.673Z
40588696,2020-02-04T15:09:43.690Z
40592086,2020-02-04T06:07:26.950Z
40600456,2020-02-04T07:22:00.233Z
40601013,2020-02-04T07:20:22.703Z
40609295,2020-02-04T10:09:08.980Z
40614497,2020-02-04T11:43:40.460Z
40624990,2020-02-04T08:29:55.507Z
40625000,2020-02-04T08:36:13.317Z
40627095,2020-02-04T16:23:03.970Z
40627639,2020-02-04T02:39:05.677Z
40632697,2020-02-04T07:34:21.843Z
40648598,2020-02-04T07:43:30.627Z
40653388,2020-02-04T08:57:49.770Z
40688693,2020-02-04T09:27:46.597Z
40688694,2020-02-04T11:07:50.410Z
40692195,2020-02-04T11:27:22.553Z
40711045,2020-02-04T10:38:34.053Z
40714071,2020-02-04T12:54:47.030Z
40716795,2020-02-04T10:18:35.510Z
40723085,2020-02-04T15:37:52.113Z
40723727,2020-02-04T08:11:48.413Z
40724880,2020-02-04T16:31:34.200Z
40724881,2020-02-04T17:22:31.463Z
40724882,2020-02-04T17:25:13.903Z
40728525,2020-02-04T13:45:18.770Z
40736961,2020-02-04T11:37:08.013Z
40764631,2020-02-04T14:24:41.350Z
40765126,2020-02-04T10:11:08.080Z
40765720,2020-02-04T13:36:37.980Z
40766196,2020-02-04T14:27:33.373Z
40766339,2020-02-04T14:20:19.587Z
40775355,2020-02-04T05:48:25.540Z
40778535,2020-02-04T09:46:53.023Z
40793371,2020-02-04T08:52:48.197Z
40814484,2020-02-04T13:24:18.313Z
40827056,2020-02-04T11:36:48.963Z
40827057,2020-02-04T11:43:45.073Z
40844674,2020-02-04T09:17:22.883Z
40886064,2020-02-04T15:14:05.627Z
40886081,2020-02-04T07:58:17.520Z
40886946,2020-02-04T10:25:27.630Z
40891128,2020-02-04T09:31:01.903Z
40891129,2020-02-04T05:34:54.327Z
40935408,2020-02-04T07:58:55.973Z
40948241,2020-02-04T13:44:39.073Z
40948926,2020-02-04T05:41:59.330Z
40948927,2020-02-04T05:55:47.360Z
40949749,2020-02-04T15:38:22.330Z
40950914,2020-02-04T04:02:35.340Z
40950915,2020-02-04T04:16:13.397Z
40960928,2020-02-04T07:44:42.467Z
40981870,2020-02-04T09:11:29.590Z
40982488,2020-02-04T17:36:15.820Z
40982489,2020-02-04T17:42:19.467Z
40990081,2020-02-04T11:49:24.217Z
40991477,2020-02-04T17:55:31.117Z
40996598,2020-02-04T05:07:07.030Z
40996599,2020-02-04T05:03:32.090Z
40998109,2020-02-04T11:30:36.570Z
41004124,2020-02-04T12:18:59.470Z
41004638,2020-02-04T03:28:17.847Z
41004993,2020-02-04T16:40:16.527Z
41004994,2020-02-04T16:55:32.483Z
41036582,2020-02-04T11:20:14.720Z
